2026-05-21 13:15:20 | [32mINFO[0m | main                 | ============================================================
2026-05-21 13:15:20 | [32mINFO[0m | main                 | ============================================================
2026-05-21 13:15:20 | [32mINFO[0m | main                 | Loaded 5 symbols from watchlist.json
2026-05-21 13:15:20 | [32mINFO[0m | trading_loop         | Watchlist set: ['RELIANCE', 'INFY', 'TCS', 'HDFCBANK', 'ICICIBANK']
2026-05-21 13:15:20 | [32mINFO[0m | angel_one            | Initiating Angel One SmartAPI login...
2026-05-21 13:15:20 | DEBUG    | angel_one            | Generated TOTP: 577440
2026-05-21 13:15:21 | [32mINFO[0m | angel_one            | WebSocket thread started.
2026-05-21 13:15:21 | [32mINFO[0m | angel_one            | Market is open. Initializing live tick WebSocket stream...
2026-05-21 13:15:22 | [32mINFO[0m | angel_one            | Sending subscription payload for 5 tokens...
2026-05-21 13:16:12 | [33mWARNING[0m | trading_loop         | Trading loop already running.
2026-05-21 13:20:21 | DEBUG    | trading_loop         | Processing RELIANCE...
2026-05-21 13:20:22 | DEBUG    | angel_one            | getCandleData params for RELIANCE: {'exchange': 'NSE', 'symboltoken': '2885', 'fromdate': '2026-05-20 13:20', 'todate': '2026-05-21 13:20', 'interval': 'FIFTEEN_MINUTE'}
2026-05-21 13:20:22 | DEBUG    | angel_one            | getCandleData raw response for RELIANCE: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
2026-05-21 13:20:22 | [33mWARNING[0m | trading_loop         | No candle data for RELIANCE.
2026-05-21 13:20:24 | DEBUG    | trading_loop         | Processing INFY...
2026-05-21 13:20:24 | DEBUG    | angel_one            | getCandleData params for INFY: {'exchange': 'NSE', 'symboltoken': '1594', 'fromdate': '2026-05-20 13:20', 'todate': '2026-05-21 13:20', 'interval': 'FIFTEEN_MINUTE'}
2026-05-21 13:20:25 | DEBUG    | angel_one            | getCandleData raw response for INFY: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
2026-05-21 13:20:25 | [33mWARNING[0m | trading_loop         | No candle data for INFY.
2026-05-21 13:20:26 | DEBUG    | trading_loop         | Processing TCS...
2026-05-21 13:20:27 | DEBUG    | angel_one            | getCandleData params for TCS: {'exchange': 'NSE', 'symboltoken': '11536', 'fromdate': '2026-05-20 13:20', 'todate': '2026-05-21 13:20', 'interval': 'FIFTEEN_MINUTE'}
2026-05-21 13:20:27 | DEBUG    | angel_one            | getCandleData raw response for TCS: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
2026-05-21 13:20:27 | [33mWARNING[0m | trading_loop         | No candle data for TCS.
2026-05-21 13:20:29 | DEBUG    | trading_loop         | Processing HDFCBANK...
